id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01HVDK90BRCWRZYXWMFSHQTCGG,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:03:55.128531-07:00,60,2024-04-13T23:03:55.128531-07:00,true,2024-04-13T23:03:56.834633-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:03:55.128531-07:00,5,2024-04-13T23:03:55.128531-07:00,true,2024-04-13T23:03:55.138632-07:00,Maze Game,2024-04-13T23:03:55.128531-07:00,01HVDK8PWAB90YQX5YNTW15ZZX,2024-04-13T23:03:55.128531-07:00,true,2024-04-13T23:03:55.13165-07:00,true,2024-04-13T23:03:55.142172-07:00,01HVDK90BMJTZ3PNK0P0CB7W98,2024-04-13T23:03:55.128531-07:00
01HVDK9B85BYBGZR06FE4SERJG,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:04:06.277422-07:00,60,2024-04-13T23:04:06.277422-07:00,true,2024-04-13T23:04:07.93551-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:04:06.277422-07:00,11,2024-04-13T23:04:06.277422-07:00,true,2024-04-13T23:04:06.287035-07:00,Maze Game,2024-04-13T23:04:06.277422-07:00,01HVDK8PWAB90YQX5YNTW15ZZX,2024-04-13T23:04:06.277422-07:00,true,2024-04-13T23:04:06.281001-07:00,true,2024-04-13T23:04:06.2899-07:00,01HVDK9B81CBDM2RW33YA5K54A,2024-04-13T23:04:06.277422-07:00
01HVDK9CWB60BV0GPQE3VCBY9G,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:04:07.947862-07:00,60,2024-04-13T23:04:07.947862-07:00,true,2024-04-13T23:04:10.654048-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:04:07.947862-07:00,12,2024-04-13T23:04:07.947862-07:00,true,2024-04-13T23:04:07.961336-07:00,Maze Game,2024-04-13T23:04:07.947862-07:00,01HVDK8PWAB90YQX5YNTW15ZZX,2024-04-13T23:04:07.947862-07:00,true,2024-04-13T23:04:07.953552-07:00,true,2024-04-13T23:04:07.965638-07:00,01HVDK9CW7VX6343TZ1P523MX3,2024-04-13T23:04:07.947862-07:00
01HVDKAG0DRQS2KC493K9QT7H9,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:04:43.917881-07:00,60,2024-04-13T23:04:43.917881-07:00,true,2024-04-13T23:04:46.644319-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:04:43.917881-07:00,11,2024-04-13T23:04:43.917881-07:00,true,2024-04-13T23:04:43.930743-07:00,Maze Game,2024-04-13T23:04:43.917881-07:00,01HVDK8PWAB90YQX5YMWA0A618,2024-04-13T23:04:43.917881-07:00,true,2024-04-13T23:04:43.922248-07:00,true,2024-04-13T23:04:43.93348-07:00,01HVDKAG0B3ZKWHSHDS425K4CH,2024-04-13T23:04:43.917881-07:00
01HVDKBE1CC37WXKD76QTZ15QX,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:05:14.668726-07:00,60,2024-04-13T23:05:14.668726-07:00,true,2024-04-13T23:05:16.837196-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:05:14.668726-07:00,8,2024-04-13T23:05:14.668726-07:00,true,2024-04-13T23:05:14.681699-07:00,Maze Game,2024-04-13T23:05:14.668726-07:00,01HVDK8PWBNAFCHG54YAMFYWSP,2024-04-13T23:05:14.668726-07:00,true,2024-04-13T23:05:14.672858-07:00,true,2024-04-13T23:05:14.684628-07:00,01HVDKBE1AG5QYC2PPYE82QVFV,2024-04-13T23:05:14.668726-07:00
01HVDKCQV02DWH0E2WAHDPT43N,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:05:57.472101-07:00,60,2024-04-13T23:05:57.472101-07:00,true,2024-04-13T23:06:00.958096-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:05:57.472101-07:00,5,2024-04-13T23:05:57.472101-07:00,true,2024-04-13T23:05:57.483325-07:00,Maze Game,2024-04-13T23:05:57.472101-07:00,01HVDK8PWHHPVVPRH0JP35DCEB,2024-04-13T23:05:57.472101-07:00,true,2024-04-13T23:05:57.476643-07:00,true,2024-04-13T23:05:57.486284-07:00,01HVDKCQTX7ZCMYTRQ7E6XXWX3,2024-04-13T23:05:57.472101-07:00
01HVDK8PWT5H1WWMMDVBBKNGEN,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:03:45.434906-07:00,60,2024-04-13T23:03:45.434906-07:00,true,2024-04-13T23:05:50.07408-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:03:45.434906-07:00,0,2024-04-13T23:03:45.434906-07:00,true,2024-04-13T23:05:47.97985-07:00,Maze Game,2024-04-13T23:03:45.434906-07:00,01HVDK8PWHHPVVPRH0JP35DCEB,2024-04-13T23:03:45.434906-07:00,true,2024-04-13T23:05:47.975247-07:00,true,2024-04-13T23:05:47.984838-07:00,01HVDK8PWQSXQ4K5Y3BH2GW3Z6,2024-04-13T23:03:45.434906-07:00
01HVDKBWZBJRG4J2YCVHEWKJ6F,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:05:29.963568-07:00,60,2024-04-13T23:05:29.963568-07:00,true,2024-04-13T23:05:31.564815-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:05:29.963568-07:00,16,2024-04-13T23:05:29.963568-07:00,true,2024-04-13T23:05:29.972523-07:00,Maze Game,2024-04-13T23:05:29.963568-07:00,01HVDK8PWBNAFCHG54YAMFYWSP,2024-04-13T23:05:29.963568-07:00,true,2024-04-13T23:05:29.966813-07:00,true,2024-04-13T23:05:29.975403-07:00,01HVDKBWZA6PV1KHSX4SZN69B3,2024-04-13T23:05:29.963568-07:00
01HVDKB0RF5GQXWGSF51F7YNGT,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:05:01.071967-07:00,60,2024-04-13T23:05:01.071967-07:00,true,2024-04-13T23:05:03.178848-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:05:01.071967-07:00,1,2024-04-13T23:05:01.071967-07:00,true,2024-04-13T23:05:01.082986-07:00,Maze Game,2024-04-13T23:05:01.071967-07:00,01HVDK8PWBNAFCHG54YAMFYWSP,2024-04-13T23:05:01.071967-07:00,true,2024-04-13T23:05:01.077005-07:00,true,2024-04-13T23:05:01.086116-07:00,01HVDKB0RB7PZGR182Y6DD2ZB2,2024-04-13T23:05:01.071967-07:00
01HVDKBN08H3DD0W5NVJQMNTT0,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:05:21.80014-07:00,60,2024-04-13T23:05:21.80014-07:00,true,2024-04-13T23:05:23.510499-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:05:21.80014-07:00,12,2024-04-13T23:05:21.80014-07:00,true,2024-04-13T23:05:21.814859-07:00,Maze Game,2024-04-13T23:05:21.80014-07:00,01HVDK8PWBNAFCHG54YAMFYWSP,2024-04-13T23:05:21.80014-07:00,true,2024-04-13T23:05:21.807405-07:00,true,2024-04-13T23:05:21.81754-07:00,01HVDKBN04SVN2V12PMDRPA70Q,2024-04-13T23:05:21.80014-07:00
